"cell_line","IC50","AAC","ENSG00000198793","ENSG00000138685","ENSG00000088832"
"SF539",15.07311949131,0.0950222455126243,5.17430553426908,4.54077641078672,4.02060837416194
"SH-4",53.2079540536544,0.228416603452168,4.83827551608441,4.43320945467808,5.79393113492955
"SHP-77",8.32161542535879,0.0402005730518782,4.88658481429904,3.11786100133268,3.21079246936717
"SiHa",294.45319549098,0.144215584902489,5.64552540675186,7.19706594309068,3.84660859720928
"SK-CO-1",0.431924336083499,0.273320266371067,5.31691626476486,4.37388777883032,4.89769401343413
"SK-GT-2",29.7801112404933,0.111691076790792,4.87635387224923,3.18782308921883,3.36321609465621
"SK-GT-4",15.8424867399065,0.0600700427065202,4.60662615888083,6.56682528690681,3.75357008801296
"SK-LMS-1",13.4857666893515,0.0952329332076507,4.77598998455212,5.62691636528546,5.3821705687849
"SK-MEL-24",46.9077987029034,0.0295080583390189,4.86657727334531,5.48718960373975,3.49657290970536
"SK-MG-1",12.2313553004309,0.0630601462534101,4.92856463208091,3.2698355869622,4.30021630443103
"SK-N-DZ",0.181237718435486,0.597407695318777,5.12204036685365,3.93655714583257,7.1656904683294
"SK-N-FI",23447.189287606,0.0810499799114616,5.21760956696952,3.86140811813556,3.65588168969711
"SK-OV-3",35.668471364209,0.269530332744215,4.73484518635394,7.00059749717885,4.1809013805245
"SKM-1",4.14818614740147,0.143271667908715,4.89545495740327,3.31080635156189,3.91686373718192
"SKN",0.862228199129537,0.290946277175375,5.12402027502893,5.90424304286055,4.52083529208316
"SN12C",16.6885605501203,0.0043889718540598,5.358423210311,7.86459456761364,3.87430617064508
"SNG-M",7.79381430089945,0.151396045039196,4.83341879178119,3.14822977011772,3.47749783738928
"SNU-16",0.135611446589176,0.609454144510088,5.30253515282395,3.24666655839697,4.34454650597032
"SNU-398",45428.4812543618,0.123980329630546,5.47566594938214,4.8070637905933,4.71620854361659
"SNU-5",0.0194820208689436,0.859910608164934,4.90049988620729,3.32304281273305,3.68404177058364
"SNU-C1",3.90100509238736,0.116654236561659,4.60811094316602,3.28025485434431,5.24801123160757
"SNU-C2B",394.517859416614,0.147462110898101,4.7798752217926,3.32222118125877,3.23313800024795
"SR",0.830416826782398,0.317316776196043,4.80959559554559,3.40266822214804,4.56022325145486
"ST486",0.911838282980646,0.211373632876374,5.37813040590086,3.39880193590825,3.34363699469162
